transaction_id,transaction_timestamp,product,category,quantity,unit_price,customer_city,payment_method
34,2026-09-21 18:10:33,Keyboard,Electronics,5,45.0,Pokhara,cash
35,2026-09-14 06:43:21,Backpack,Accessories,2,55.0,Butwal,cash
36,2026-09-01 12:33:59,Headphones,Electronics,5,90.0,Biratnagar,mobile_payment
37,2026-09-13 04:34:12,Monitor,Electronics,4,220.0,Biratnagar,mobile_payment
38,2026-09-25 04:31:47,Mouse,Electronics,5,25.0,Bhaktapur,mobile_payment
39,2026-09-27 01:54:27,Pen,Stationery,4,2.0,Bhaktapur,cash
40,2026-09-11 04:15:58,Monitor,Electronics,4,220.0,Pokhara,card
41,2026-09-14 02:07:30,Backpack,Accessories,2,55.0,Bhaktapur,card
42,2026-09-20 14:32:36,Backpack,Accessories,3,55.0,Bhaktapur,mobile_payment
43,2026-09-06 11:34:56,Pen,Stationery,2,2.0,Kathmandu,mobile_payment
44,2026-09-14 20:56:24,Pen,Stationery,5,2.0,Bhaktapur,card
45,2026-09-17 01:28:21,Pen,Stationery,5,2.0,Bhaktapur,cash
46,2026-09-01 12:08:37,Monitor,Electronics,5,220.0,Kathmandu,mobile_payment
47,2026-09-05 20:33:46,Headphones,Electronics,3,90.0,Lalitpur,card
48,2026-09-08 03:38:29,Keyboard,Electronics,2,45.0,Biratnagar,mobile_payment
49,2026-09-16 08:29:38,Desk Chair,Furniture,3,180.0,Lalitpur,mobile_payment
50,2026-09-30 07:27:34,Keyboard,Electronics,3,45.0,Butwal,mobile_payment
51,2026-09-19 22:16:34,Desk,Furniture,2,300.0,Butwal,cash
52,2026-09-12 06:25:20,Laptop,Electronics,4,850.0,Bhaktapur,mobile_payment
53,2026-09-15 20:13:46,Notebook,Stationery,4,5.0,Biratnagar,mobile_payment
54,2026-09-13 18:54:15,Pen,Stationery,4,2.0,Butwal,cash
55,2026-09-04 07:22:12,Keyboard,Electronics,1,45.0,Pokhara,cash
56,2026-09-08 04:31:07,Backpack,Accessories,5,55.0,Kathmandu,card
57,2026-09-05 04:39:30,Desk,Furniture,3,300.0,Kathmandu,card
58,2026-09-22 11:20:22,Mouse,Electronics,5,25.0,Lalitpur,cash
59,2026-09-27 19:47:42,Laptop,Electronics,4,850.0,Bhaktapur,mobile_payment
60,2026-09-24 22:48:34,Desk,Furniture,2,300.0,Lalitpur,card
61,2026-09-17 00:34:02,Desk,Furniture,2,300.0,Butwal,cash
62,2026-09-27 02:05:57,Keyboard,Electronics,4,45.0,Kathmandu,card
63,2026-09-08 06:47:16,Notebook,Stationery,4,5.0,Kathmandu,cash
64,2026-09-25 12:23:23,Notebook,Stationery,5,5.0,Pokhara,cash
65,2026-09-06 20:49:09,Pen,Stationery,3,2.0,Kathmandu,card
66,2026-09-06 11:59:02,Laptop,Electronics,5,850.0,Lalitpur,cash
67,2026-09-16 17:19:28,Monitor,Electronics,5,220.0,Butwal,card
68,2026-09-03 23:18:18,Backpack,Accessories,1,55.0,Butwal,mobile_payment
69,2026-09-27 16:39:45,Notebook,Stationery,3,5.0,Butwal,mobile_payment
70,2026-09-03 15:18:47,Desk Chair,Furniture,3,180.0,Lalitpur,card
71,2026-09-28 00:17:00,Mouse,Electronics,4,25.0,Biratnagar,mobile_payment
72,2026-09-18 02:25:42,Monitor,Electronics,1,220.0,Butwal,cash
73,2026-09-15 20:16:56,Headphones,Electronics,2,90.0,Bhaktapur,cash
74,2026-09-12 10:12:37,Desk Chair,Furniture,2,180.0,Kathmandu,card
75,2026-09-10 09:47:31,Desk Chair,Furniture,1,180.0,Lalitpur,card
76,2026-09-10 20:50:44,Pen,Stationery,1,2.0,Lalitpur,card
77,2026-10-01 13:16:53,Monitor,Electronics,1,220.0,Butwal,cash
78,2026-09-24 00:05:53,Backpack,Accessories,1,55.0,Pokhara,mobile_payment
79,2026-09-29 17:15:52,Keyboard,Electronics,5,45.0,Butwal,mobile_payment
80,2026-09-07 20:32:52,Mouse,Electronics,1,25.0,Bhaktapur,card
81,2026-09-28 01:31:40,Backpack,Accessories,2,55.0,Lalitpur,cash
82,2026-09-04 06:13:48,Notebook,Stationery,4,5.0,Biratnagar,cash
83,2026-09-13 11:08:54,Desk,Furniture,1,300.0,Butwal,cash
84,2026-09-23 09:54:21,Keyboard,Electronics,5,45.0,Biratnagar,card
85,2026-09-09 03:58:47,Desk,Furniture,5,300.0,Biratnagar,cash
86,2026-09-06 15:37:46,Desk Chair,Furniture,3,180.0,Bhaktapur,mobile_payment
87,2026-09-20 06:22:13,Notebook,Stationery,2,5.0,Pokhara,mobile_payment
88,2026-09-05 07:50:14,Pen,Stationery,5,2.0,Butwal,card
89,2026-09-04 17:58:49,Desk Chair,Furniture,5,180.0,Biratnagar,card
90,2026-09-08 04:36:03,Laptop,Electronics,3,850.0,Butwal,cash
91,2026-09-25 19:16:50,Monitor,Electronics,2,220.0,Bhaktapur,card
92,2026-09-18 18:00:39,Backpack,Accessories,1,55.0,Biratnagar,mobile_payment
93,2026-09-27 11:20:33,Mouse,Electronics,4,25.0,Pokhara,mobile_payment
94,2026-09-25 16:23:50,Desk Chair,Furniture,4,180.0,Lalitpur,cash
95,2026-09-25 10:29:42,Mouse,Electronics,1,25.0,Butwal,cash
96,2026-09-29 18:58:25,Monitor,Electronics,2,220.0,Pokhara,cash
97,2026-09-05 01:19:01,Mouse,Electronics,2,25.0,Bhaktapur,mobile_payment
98,2026-09-12 15:17:16,Laptop,Electronics,2,850.0,Pokhara,mobile_payment
99,2026-09-03 19:25:15,Notebook,Stationery,1,5.0,Butwal,card
100,2026-09-29 03:02:47,Mouse,Electronics,2,25.0,Butwal,cash
101,2026-09-08 10:51:14,Mouse,Electronics,5,25.0,Lalitpur,card
102,2026-09-23 07:00:35,Headphones,Electronics,5,90.0,Bhaktapur,cash
103,2026-09-03 13:16:16,Pen,Stationery,1,2.0,Pokhara,mobile_payment
104,2026-09-19 08:00:53,Notebook,Stationery,5,5.0,Butwal,cash
105,2026-09-18 17:46:25,Monitor,Electronics,4,220.0,Biratnagar,cash
106,2026-09-20 19:43:10,Pen,Stationery,4,2.0,Lalitpur,mobile_payment
107,2026-09-12 07:14:57,Desk Chair,Furniture,2,180.0,Kathmandu,card
108,2026-09-15 03:39:20,Laptop,Electronics,4,850.0,Pokhara,card
109,2026-09-20 13:06:35,Pen,Stationery,4,2.0,Biratnagar,card
110,2026-09-25 15:20:05,Keyboard,Electronics,4,45.0,Biratnagar,cash
111,2026-09-10 11:01:03,Desk,Furniture,5,300.0,Lalitpur,mobile_payment
112,2026-09-19 17:17:18,Desk,Furniture,2,300.0,Bhaktapur,mobile_payment
113,2026-09-25 10:33:24,Desk,Furniture,5,300.0,Butwal,mobile_payment
114,2026-09-23 14:31:28,Desk,Furniture,1,300.0,Biratnagar,cash
115,2026-09-25 11:35:25,Headphones,Electronics,2,90.0,Bhaktapur,card
116,2026-09-26 23:53:18,Keyboard,Electronics,5,45.0,Lalitpur,card
117,2026-09-30 06:31:33,Mouse,Electronics,2,25.0,Kathmandu,card
118,2026-09-12 01:51:04,Pen,Stationery,2,2.0,Kathmandu,cash
119,2026-09-07 09:33:55,Monitor,Electronics,2,220.0,Butwal,mobile_payment
120,2026-09-06 04:02:51,Desk,Furniture,5,300.0,Pokhara,cash
121,2026-09-19 16:17:16,Laptop,Electronics,1,850.0,Biratnagar,mobile_payment
122,2026-09-07 13:07:23,Backpack,Accessories,4,55.0,Lalitpur,cash
123,2026-09-09 12:38:07,Monitor,Electronics,2,220.0,Pokhara,cash
124,2026-09-24 09:49:26,Monitor,Electronics,5,220.0,Bhaktapur,mobile_payment
125,2026-09-10 05:35:04,Notebook,Stationery,3,5.0,Bhaktapur,cash
126,2026-09-26 05:09:53,Pen,Stationery,2,2.0,Lalitpur,card
127,2026-09-09 08:04:35,Pen,Stationery,3,2.0,Butwal,cash
128,2026-09-12 21:11:42,Pen,Stationery,4,2.0,Bhaktapur,mobile_payment
129,2026-09-30 04:39:19,Desk Chair,Furniture,1,180.0,Butwal,cash
130,2026-09-18 14:47:55,Desk Chair,Furniture,5,180.0,Biratnagar,cash
131,2026-09-08 17:19:14,Desk,Furniture,5,300.0,Lalitpur,card
132,2026-09-11 10:33:06,Monitor,Electronics,5,220.0,Lalitpur,mobile_payment
133,2026-09-11 10:15:31,Monitor,Electronics,3,220.0,Pokhara,cash
134,2026-09-15 14:39:05,Desk Chair,Furniture,3,180.0,Pokhara,mobile_payment
135,2026-09-22 17:32:45,Keyboard,Electronics,2,45.0,Pokhara,card
136,2026-09-28 15:11:51,Notebook,Stationery,2,5.0,Bhaktapur,cash
137,2026-09-04 11:05:25,Keyboard,Electronics,4,45.0,Kathmandu,cash
138,2026-09-22 11:06:48,Desk,Furniture,5,300.0,Kathmandu,card
139,2026-09-27 07:27:49,Desk,Furniture,2,300.0,Butwal,cash
140,2026-09-27 19:22:27,Notebook,Stationery,4,5.0,Butwal,cash
141,2026-09-11 19:43:15,Monitor,Electronics,3,220.0,Kathmandu,mobile_payment
142,2026-09-01 17:00:38,Pen,Stationery,2,2.0,Kathmandu,card
143,2026-09-09 07:50:47,Pen,Stationery,1,2.0,Biratnagar,cash
144,2026-09-19 05:51:31,Mouse,Electronics,4,25.0,Pokhara,cash
145,2026-09-04 20:57:41,Notebook,Stationery,4,5.0,Biratnagar,cash
146,2026-09-11 08:50:38,Backpack,Accessories,4,55.0,Bhaktapur,card
147,2026-09-15 00:34:56,Notebook,Stationery,1,5.0,Bhaktapur,mobile_payment
148,2026-09-05 23:05:30,Notebook,Stationery,3,5.0,Lalitpur,mobile_payment
149,2026-09-10 15:11:06,Backpack,Accessories,3,55.0,Lalitpur,card
150,2026-10-01 17:39:02,Notebook,Stationery,3,5.0,Biratnagar,card
151,2026-09-18 06:17:02,Desk Chair,Furniture,3,180.0,Bhaktapur,mobile_payment
152,2026-09-04 03:04:48,Monitor,Electronics,5,220.0,Bhaktapur,cash
153,2026-09-06 07:04:24,Mouse,Electronics,1,25.0,Butwal,mobile_payment
154,2026-09-18 07:53:25,Notebook,Stationery,2,5.0,Lalitpur,card
155,2026-10-01 02:20:12,Backpack,Accessories,5,55.0,Biratnagar,mobile_payment
156,2026-09-21 08:33:35,Pen,Stationery,4,2.0,Bhaktapur,cash
157,2026-09-02 22:13:29,Desk Chair,Furniture,1,180.0,Lalitpur,cash
158,2026-09-21 21:50:24,Monitor,Electronics,1,220.0,Lalitpur,cash
159,2026-09-06 04:23:54,Backpack,Accessories,3,55.0,Butwal,cash
160,2026-09-28 10:43:26,Mouse,Electronics,2,25.0,Butwal,cash
161,2026-09-12 20:49:57,Mouse,Electronics,4,25.0,Biratnagar,card
162,2026-09-29 07:34:36,Pen,Stationery,1,2.0,Butwal,cash
163,2026-09-22 22:30:37,Keyboard,Electronics,4,45.0,Bhaktapur,card
164,2026-09-03 15:35:58,Pen,Stationery,1,2.0,Bhaktapur,card
165,2026-09-01 17:32:01,Headphones,Electronics,1,90.0,Pokhara,mobile_payment
166,2026-09-12 08:57:29,Laptop,Electronics,3,850.0,Bhaktapur,cash
167,2026-09-26 17:05:07,Keyboard,Electronics,1,45.0,Kathmandu,mobile_payment
168,2026-09-17 02:48:02,Mouse,Electronics,5,25.0,Biratnagar,mobile_payment
169,2026-09-10 09:47:16,Mouse,Electronics,2,25.0,Bhaktapur,mobile_payment
170,2026-09-17 03:26:13,Headphones,Electronics,1,90.0,Bhaktapur,mobile_payment
171,2026-09-19 03:31:44,Pen,Stationery,3,2.0,Lalitpur,cash
172,2026-09-20 12:46:14,Desk,Furniture,2,300.0,Bhaktapur,card
173,2026-09-04 09:13:30,Monitor,Electronics,3,220.0,Biratnagar,mobile_payment
174,2026-09-19 23:45:15,Mouse,Electronics,2,25.0,Pokhara,mobile_payment
175,2026-09-02 20:55:29,Pen,Stationery,5,2.0,Lalitpur,cash
176,2026-09-29 22:26:14,Notebook,Stationery,5,5.0,Kathmandu,cash
177,2026-09-28 18:04:56,Monitor,Electronics,5,220.0,Bhaktapur,cash
178,2026-09-05 11:10:34,Mouse,Electronics,1,25.0,Bhaktapur,card
179,2026-09-13 13:47:37,Laptop,Electronics,1,850.0,Butwal,mobile_payment
180,2026-09-22 21:06:31,Desk Chair,Furniture,4,180.0,Kathmandu,cash
181,2026-09-22 02:12:34,Mouse,Electronics,5,25.0,Bhaktapur,mobile_payment
182,2026-09-03 22:14:28,Keyboard,Electronics,2,45.0,Biratnagar,cash
183,2026-09-23 04:40:22,Laptop,Electronics,3,850.0,Pokhara,mobile_payment
184,2026-09-26 20:24:14,Mouse,Electronics,4,25.0,Biratnagar,cash
185,2026-09-18 20:51:44,Pen,Stationery,3,2.0,Bhaktapur,cash
186,2026-09-25 06:17:31,Headphones,Electronics,2,90.0,Kathmandu,cash
187,2026-09-21 12:58:22,Monitor,Electronics,5,220.0,Lalitpur,mobile_payment
188,2026-09-12 14:30:25,Headphones,Electronics,1,90.0,Bhaktapur,card
189,2026-09-19 09:18:28,Laptop,Electronics,3,850.0,Bhaktapur,card
190,2026-09-13 07:17:19,Keyboard,Electronics,3,45.0,Bhaktapur,cash
191,2026-09-24 13:45:42,Pen,Stationery,5,2.0,Butwal,cash
192,2026-09-21 22:31:52,Desk Chair,Furniture,2,180.0,Kathmandu,card
193,2026-09-04 19:11:02,Desk Chair,Furniture,3,180.0,Butwal,mobile_payment
194,2026-09-14 13:25:00,Monitor,Electronics,2,220.0,Butwal,card
195,2026-09-02 08:14:27,Laptop,Electronics,3,850.0,Kathmandu,cash
196,2026-09-30 01:37:27,Notebook,Stationery,2,5.0,Kathmandu,card
197,2026-09-17 08:05:07,Desk,Furniture,4,300.0,Butwal,mobile_payment
198,2026-09-20 00:55:51,Mouse,Electronics,1,25.0,Bhaktapur,mobile_payment
199,2026-09-15 17:14:24,Mouse,Electronics,3,25.0,Kathmandu,cash
200,2026-09-05 14:58:07,Backpack,Accessories,3,55.0,Biratnagar,card
201,2026-09-02 22:52:37,Keyboard,Electronics,1,45.0,Kathmandu,card
202,2026-09-10 11:08:11,Desk,Furniture,1,300.0,Bhaktapur,mobile_payment
203,2026-09-06 09:22:09,Monitor,Electronics,4,220.0,Lalitpur,card
204,2026-09-12 02:35:56,Desk Chair,Furniture,1,180.0,Pokhara,cash
205,2026-09-30 10:55:25,Desk,Furniture,3,300.0,Pokhara,mobile_payment
206,2026-09-15 04:17:00,Mouse,Electronics,3,25.0,Bhaktapur,cash
207,2026-09-14 08:08:34,Desk Chair,Furniture,1,180.0,Bhaktapur,card
208,2026-09-01 12:39:38,Pen,Stationery,1,2.0,Biratnagar,mobile_payment
209,2026-09-10 11:01:12,Desk,Furniture,3,300.0,Butwal,cash
210,2026-09-27 16:47:46,Monitor,Electronics,5,220.0,Bhaktapur,card
211,2026-09-20 13:54:25,Desk Chair,Furniture,4,180.0,Butwal,cash
212,2026-09-17 14:01:44,Headphones,Electronics,5,90.0,Lalitpur,card
213,2026-09-23 18:31:33,Headphones,Electronics,1,90.0,Butwal,card
214,2026-09-24 10:43:38,Mouse,Electronics,4,25.0,Pokhara,cash
215,2026-09-30 16:26:00,Backpack,Accessories,3,55.0,Lalitpur,mobile_payment
216,2026-09-12 22:19:26,Backpack,Accessories,1,55.0,Bhaktapur,cash
217,2026-09-01 13:58:39,Backpack,Accessories,4,55.0,Biratnagar,cash
218,2026-09-29 14:14:02,Desk Chair,Furniture,1,180.0,Biratnagar,cash
219,2026-09-06 22:21:35,Backpack,Accessories,5,55.0,Pokhara,cash
220,2026-09-05 11:15:34,Monitor,Electronics,5,220.0,Biratnagar,cash
221,2026-09-15 12:05:13,Keyboard,Electronics,3,45.0,Lalitpur,card
222,2026-09-06 11:19:05,Keyboard,Electronics,2,45.0,Pokhara,cash
223,2026-09-25 15:04:06,Pen,Stationery,2,2.0,Bhaktapur,mobile_payment
224,2026-09-28 03:11:41,Keyboard,Electronics,2,45.0,Pokhara,cash
225,2026-09-22 07:32:13,Headphones,Electronics,2,90.0,Biratnagar,mobile_payment
226,2026-09-09 23:38:03,Desk,Furniture,5,300.0,Butwal,card
227,2026-10-01 11:15:39,Notebook,Stationery,2,5.0,Pokhara,cash
228,2026-09-30 03:40:42,Laptop,Electronics,1,850.0,Biratnagar,card
229,2026-09-18 11:02:53,Headphones,Electronics,4,90.0,Pokhara,cash
230,2026-09-25 08:06:01,Keyboard,Electronics,4,45.0,Bhaktapur,mobile_payment
231,2026-10-01 10:48:59,Notebook,Stationery,5,5.0,Lalitpur,card
232,2026-09-14 10:14:49,Notebook,Stationery,5,5.0,Biratnagar,mobile_payment
233,2026-09-11 11:19:19,Notebook,Stationery,2,5.0,Biratnagar,cash
234,2026-09-09 15:49:58,Monitor,Electronics,2,220.0,Kathmandu,cash
235,2026-09-07 19:00:07,Keyboard,Electronics,4,45.0,Bhaktapur,cash
236,2026-09-24 06:49:22,Keyboard,Electronics,4,45.0,Biratnagar,mobile_payment
237,2026-09-25 18:25:38,Desk Chair,Furniture,2,180.0,Bhaktapur,cash
238,2026-09-09 23:15:41,Headphones,Electronics,5,90.0,Lalitpur,card
239,2026-09-16 14:34:43,Monitor,Electronics,1,220.0,Kathmandu,mobile_payment
240,2026-09-26 16:02:11,Desk Chair,Furniture,3,180.0,Butwal,mobile_payment
241,2026-09-24 08:28:07,Backpack,Accessories,4,55.0,Butwal,mobile_payment
242,2026-09-25 12:39:46,Headphones,Electronics,2,90.0,Kathmandu,mobile_payment
243,2026-10-01 07:52:33,Monitor,Electronics,4,220.0,Biratnagar,mobile_payment
244,2026-09-24 14:14:44,Pen,Stationery,3,2.0,Biratnagar,card
245,2026-09-11 08:15:16,Desk,Furniture,3,300.0,Biratnagar,card
246,2026-09-16 00:50:56,Keyboard,Electronics,1,45.0,Biratnagar,cash
247,2026-09-11 11:05:50,Desk Chair,Furniture,5,180.0,Biratnagar,cash
248,2026-09-22 05:46:42,Laptop,Electronics,5,850.0,Kathmandu,card
249,2026-09-02 02:29:21,Keyboard,Electronics,3,45.0,Pokhara,cash
250,2026-09-27 05:25:23,Keyboard,Electronics,2,45.0,Pokhara,card
251,2026-09-01 09:01:16,Desk,Furniture,4,300.0,Pokhara,mobile_payment
252,2026-10-01 11:54:28,Notebook,Stationery,4,5.0,Biratnagar,card
253,2026-09-24 12:50:57,Mouse,Electronics,3,25.0,Lalitpur,mobile_payment
254,2026-09-23 11:59:45,Mouse,Electronics,4,25.0,Bhaktapur,cash
255,2026-09-10 07:38:59,Pen,Stationery,4,2.0,Pokhara,mobile_payment
256,2026-10-01 12:49:24,Desk,Furniture,1,300.0,Lalitpur,mobile_payment
257,2026-09-04 02:23:07,Notebook,Stationery,2,5.0,Butwal,card
258,2026-10-01 09:59:57,Laptop,Electronics,3,850.0,Bhaktapur,mobile_payment
259,2026-09-19 08:15:42,Headphones,Electronics,1,90.0,Butwal,card
260,2026-09-26 19:59:23,Headphones,Electronics,4,90.0,Lalitpur,mobile_payment
261,2026-09-25 19:48:52,Mouse,Electronics,1,25.0,Bhaktapur,mobile_payment
262,2026-09-16 09:04:32,Desk,Furniture,2,300.0,Biratnagar,cash
263,2026-09-20 00:03:20,Notebook,Stationery,1,5.0,Kathmandu,card
264,2026-09-09 14:43:06,Laptop,Electronics,3,850.0,Pokhara,cash
265,2026-09-20 04:38:04,Mouse,Electronics,1,25.0,Biratnagar,mobile_payment
266,2026-09-29 07:02:39,Monitor,Electronics,4,220.0,Biratnagar,mobile_payment
267,2026-09-25 16:26:05,Pen,Stationery,4,2.0,Biratnagar,mobile_payment
268,2026-09-01 20:47:26,Laptop,Electronics,2,850.0,Kathmandu,cash
269,2026-09-04 02:24:21,Pen,Stationery,3,2.0,Bhaktapur,cash
270,2026-09-18 12:50:27,Desk,Furniture,5,300.0,Pokhara,card
271,2026-09-28 04:19:43,Desk,Furniture,5,300.0,Bhaktapur,card
272,2026-09-24 01:27:30,Headphones,Electronics,4,90.0,Bhaktapur,mobile_payment
273,2026-09-22 08:14:35,Mouse,Electronics,5,25.0,Lalitpur,mobile_payment
274,2026-09-03 06:44:28,Keyboard,Electronics,5,45.0,Bhaktapur,card
275,2026-09-21 03:46:47,Headphones,Electronics,1,90.0,Butwal,mobile_payment
276,2026-09-10 17:31:19,Notebook,Stationery,5,5.0,Pokhara,mobile_payment
277,2026-09-20 10:13:22,Headphones,Electronics,4,90.0,Kathmandu,cash
278,2026-09-20 20:56:17,Notebook,Stationery,2,5.0,Butwal,cash
279,2026-09-21 14:39:58,Mouse,Electronics,4,25.0,Biratnagar,card
280,2026-09-25 18:29:13,Desk Chair,Furniture,3,180.0,Lalitpur,mobile_payment
281,2026-09-01 04:43:26,Monitor,Electronics,1,220.0,Pokhara,card
282,2026-09-25 18:55:15,Mouse,Electronics,1,25.0,Pokhara,card
283,2026-09-22 01:38:35,Laptop,Electronics,5,850.0,Kathmandu,mobile_payment
284,2026-09-10 13:56:50,Laptop,Electronics,4,850.0,Kathmandu,card
285,2026-09-21 09:04:47,Mouse,Electronics,3,25.0,Biratnagar,mobile_payment
286,2026-09-07 20:12:02,Monitor,Electronics,3,220.0,Bhaktapur,cash
287,2026-09-17 05:51:35,Desk,Furniture,1,300.0,Biratnagar,card
288,2026-09-19 11:47:10,Backpack,Accessories,4,55.0,Biratnagar,cash
289,2026-09-04 06:11:58,Laptop,Electronics,4,850.0,Lalitpur,mobile_payment
290,2026-09-07 19:25:28,Headphones,Electronics,2,90.0,Bhaktapur,card
291,2026-09-10 14:04:26,Desk Chair,Furniture,5,180.0,Lalitpur,mobile_payment
292,2026-09-07 18:04:17,Keyboard,Electronics,3,45.0,Biratnagar,card
293,2026-09-11 05:21:57,Headphones,Electronics,5,90.0,Lalitpur,cash
294,2026-09-03 18:39:16,Keyboard,Electronics,4,45.0,Bhaktapur,cash
295,2026-09-21 05:31:29,Headphones,Electronics,2,90.0,Biratnagar,card
296,2026-09-02 22:36:03,Notebook,Stationery,5,5.0,Butwal,card
297,2026-09-04 07:02:31,Notebook,Stationery,4,5.0,Butwal,card
298,2026-09-02 13:53:28,Notebook,Stationery,5,5.0,Bhaktapur,card
299,2026-09-09 15:36:12,Keyboard,Electronics,1,45.0,Bhaktapur,mobile_payment
300,2026-09-21 18:34:48,Notebook,Stationery,5,5.0,Biratnagar,card
301,2026-09-16 21:32:50,Laptop,Electronics,3,850.0,Lalitpur,card
302,2026-09-12 23:59:58,Notebook,Stationery,3,5.0,Biratnagar,cash
303,2026-09-20 13:35:07,Backpack,Accessories,3,55.0,Kathmandu,cash
304,2026-09-03 16:15:52,Desk Chair,Furniture,5,180.0,Kathmandu,card
305,2026-09-17 13:55:41,Pen,Stationery,4,2.0,Lalitpur,cash
306,2026-09-24 08:18:43,Desk,Furniture,4,300.0,Butwal,card
307,2026-09-29 00:12:53,Backpack,Accessories,4,55.0,Pokhara,cash
308,2026-09-16 01:49:46,Pen,Stationery,3,2.0,Kathmandu,mobile_payment
309,2026-09-30 09:59:42,Notebook,Stationery,1,5.0,Biratnagar,mobile_payment
310,2026-09-27 10:34:12,Keyboard,Electronics,1,45.0,Bhaktapur,mobile_payment
311,2026-09-29 13:48:57,Backpack,Accessories,3,55.0,Butwal,mobile_payment
312,2026-09-25 12:34:29,Mouse,Electronics,5,25.0,Bhaktapur,cash
313,2026-09-05 02:02:36,Pen,Stationery,5,2.0,Bhaktapur,mobile_payment
314,2026-09-01 02:45:02,Mouse,Electronics,2,25.0,Lalitpur,mobile_payment
315,2026-09-26 11:37:30,Laptop,Electronics,1,850.0,Bhaktapur,mobile_payment
316,2026-09-21 23:43:30,Monitor,Electronics,2,220.0,Biratnagar,mobile_payment
317,2026-09-07 00:18:36,Monitor,Electronics,1,220.0,Bhaktapur,cash
318,2026-09-30 12:00:02,Desk,Furniture,4,300.0,Butwal,mobile_payment
319,2026-09-15 06:43:27,Monitor,Electronics,4,220.0,Pokhara,cash
320,2026-09-08 15:26:37,Desk Chair,Furniture,3,180.0,Lalitpur,card
321,2026-09-30 03:14:26,Mouse,Electronics,4,25.0,Butwal,mobile_payment
322,2026-09-18 08:10:23,Desk,Furniture,1,300.0,Kathmandu,cash
323,2026-09-19 14:43:00,Notebook,Stationery,3,5.0,Pokhara,mobile_payment
324,2026-09-12 08:46:35,Notebook,Stationery,3,5.0,Pokhara,cash
325,2026-09-24 13:52:45,Monitor,Electronics,1,220.0,Lalitpur,card
326,2026-09-07 05:36:34,Mouse,Electronics,1,25.0,Bhaktapur,card
327,2026-09-02 13:39:39,Desk Chair,Furniture,1,180.0,Lalitpur,mobile_payment
328,2026-09-12 15:04:31,Mouse,Electronics,5,25.0,Pokhara,mobile_payment
329,2026-09-20 23:16:17,Notebook,Stationery,5,5.0,Bhaktapur,card
330,2026-09-08 00:44:37,Headphones,Electronics,1,90.0,Biratnagar,mobile_payment
331,2026-09-17 13:29:19,Desk,Furniture,2,300.0,Biratnagar,card
332,2026-09-17 04:05:13,Laptop,Electronics,5,850.0,Kathmandu,mobile_payment
333,2026-09-20 19:31:12,Notebook,Stationery,2,5.0,Bhaktapur,cash
